Rented Bike Count,Hour,Temperature,Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),year,month,day,dayofweek,quarter,week_of_year,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,Is_Holiday,Is_Functioning_Day,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Temp_Humidity,Temp_WindSpeed,Humidity_Wind,Comfort_Index,Is_Weekend,Is_Rush_Hour,Is_Night,Is_NonWorking_Day,Hour_Temperature,Hour_Humidity,Hour_Visibility,Winter_Temperature,Spring_Temperature,Summer_Temperature,Autumn_Temperature,Bad_Weather,Extreme_Temp
339,10,-3.5,24,1.2,1996,-21.2,0.65,0.0,0.0,2017,12,1,4,4,48,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,-84.0,-4.2,28.799999999999997,22.810000000000002,0,0,0,0,-35.0,240,19960,-3.5,-0.0,-0.0,-0.0,0,1
360,11,-0.5,21,1.3,1936,-20.2,0.94,0.0,0.0,2017,12,1,4,4,48,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,-10.5,-0.65,27.3,25.189999999999998,0,0,0,0,-5.5,231,21296,-0.5,-0.0,-0.0,-0.0,0,1
449,12,1.7,23,1.4,2000,-17.2,1.11,0.0,0.0,2017,12,1,4,4,48,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,39.1,2.38,32.199999999999996,25.669999999999998,0,0,0,0,20.4,276,24000,1.7,0.0,0.0,0.0,0,0
451,13,2.4,25,1.6,2000,-15.6,1.16,0.0,0.0,2017,12,1,4,4,48,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,60.0,3.84,40.0,25.38,0,0,0,0,31.2,325,26000,2.4,0.0,0.0,0.0,0,0
447,14,3.0,26,2.0,2000,-14.6,1.01,0.0,0.0,2017,12,1,4,4,48,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,78.0,6.0,52.0,25.3,0,0,0,0,42.0,364,28000,3.0,0.0,0.0,0.0,0,0
463,15,2.1,36,3.2,2000,-11.4,0.54,0.0,0.0,2017,12,1,4,4,48,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,75.60000000000001,6.720000000000001,115.2,21.61,0,0,0,0,31.5,540,30000,2.1,0.0,0.0,0.0,0,0
484,16,1.2,54,4.2,793,-7.0,0.24,0.0,0.0,2017,12,1,4,4,48,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,64.8,5.04,226.8,15.559999999999999,0,0,0,0,19.2,864,12688,1.2,0.0,0.0,0.0,0,0
555,17,0.8,58,1.6,2000,-6.5,0.08,0.0,0.0,2017,12,1,4,4,48,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,46.400000000000006,1.2800000000000002,92.80000000000001,14.68,0,1,0,0,13.600000000000001,986,34000,0.8,0.0,0.0,0.0,0,0
862,18,0.6,66,1.4,2000,-5.0,0.0,0.0,0.0,2017,12,1,4,4,48,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,39.6,0.84,92.39999999999999,12.22,0,1,0,0,10.799999999999999,1188,36000,0.6,0.0,0.0,0.0,0,0
600,19,0.0,77,1.7,2000,-3.5,0.0,0.0,0.0,2017,12,1,4,4,48,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,0.0,0.0,130.9,8.559999999999999,0,1,0,0,0.0,1463,38000,0.0,0.0,0.0,0.0,0,0
426,20,-0.3,79,1.5,1913,-3.5,0.0,0.0,0.0,2017,12,1,4,4,48,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,-23.7,-0.44999999999999996,118.5,7.85,0,0,0,0,-6.0,1580,38260,-0.3,-0.0,-0.0,-0.0,0,1
405,21,-0.8,81,0.8,1687,-3.6,0.0,0.0,0.0,2017,12,1,4,4,48,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,-64.8,-0.6400000000000001,64.8,7.14,0,0,0,0,-16.8,1701,35427,-0.8,-0.0,-0.0,-0.0,0,1
398,22,-0.9,83,1.5,1380,-3.4,0.0,0.0,0.0,2017,12,1,4,4,48,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,-74.7,-1.35,124.5,6.35,0,0,1,0,-19.8,1826,30360,-0.9,-0.0,-0.0,-0.0,0,1
323,23,-1.3,84,1.0,1265,-3.6,0.0,0.0,0.0,2017,12,1,4,4,48,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,-109.2,-1.3,84.0,5.949999999999999,0,0,1,0,-29.900000000000002,1932,29095,-1.3,-0.0,-0.0,-0.0,0,1
328,0,-1.8,87,1.1,994,-3.6,0.0,0.0,0.0,2017,12,2,5,4,48,0.0,1.0,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,-156.6,-1.9800000000000002,95.7,4.78,1,0,1,1,-0.0,0,0,-1.8,-0.0,-0.0,-0.0,0,1
308,1,-2.2,86,0.6,990,-4.2,0.0,0.0,0.0,2017,12,2,5,4,48,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,-189.20000000000002,-1.32,51.6,4.98,1,0,1,1,-2.2,86,990,-2.2,-0.0,-0.0,-0.0,0,1
262,2,-2.9,86,1.5,1256,-4.9,0.0,0.0,0.0,2017,12,2,5,4,48,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,-249.4,-4.35,129.0,4.45,1,0,1,1,-5.8,172,2512,-2.9,-0.0,-0.0,-0.0,0,1
167,3,-3.5,81,2.2,1221,-6.2,0.0,0.0,0.0,2017,12,2,5,4,48,0.7071067811865475,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,-283.5,-7.700000000000001,178.20000000000002,5.51,1,0,1,1,-10.5,243,3663,-3.5,-0.0,-0.0,-0.0,0,1
89,4,-3.8,79,2.0,1167,-6.9,0.0,0.0,0.0,2017,12,2,5,4,48,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,-300.2,-7.6,158.0,6.0,1,0,1,1,-15.2,316,4668,-3.8,-0.0,-0.0,-0.0,0,1
79,5,-4.0,79,1.5,1202,-7.1,0.0,0.0,0.0,2017,12,2,5,4,48,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,-316.0,-6.0,118.5,6.0,1,0,1,1,-20.0,395,6010,-4.0,-0.0,-0.0,-0.0,0,1
70,6,-4.3,82,2.1,1178,-6.9,0.0,0.0,0.0,2017,12,2,5,4,48,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,-352.59999999999997,-9.03,172.20000000000002,4.83,1,0,0,1,-25.799999999999997,492,7068,-4.3,-0.0,-0.0,-0.0,0,1
146,7,-4.4,81,2.5,1276,-7.1,0.0,0.0,0.0,2017,12,2,5,4,48,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,-356.40000000000003,-11.0,202.5,5.0,1,1,0,1,-30.800000000000004,567,8932,-4.4,-0.0,-0.0,-0.0,0,1
219,8,-4.2,79,2.1,1436,-7.3,0.01,0.0,0.0,2017,12,2,5,4,48,0.8660254037844387,-0.49999999999999983,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,-331.8,-8.82,165.9,5.779999999999999,1,1,0,1,-33.6,632,11488,-4.2,-0.0,-0.0,-0.0,0,1
328,9,-2.9,68,1.6,1487,-7.9,0.3,0.0,0.0,2017,12,2,5,4,48,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,-197.2,-4.64,108.80000000000001,9.83,1,0,0,1,-26.099999999999998,612,13383,-2.9,-0.0,-0.0,-0.0,0,1
334,10,-0.4,57,1.6,1309,-7.8,0.8,0.0,0.0,2017,12,2,5,4,48,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,-22.8,-0.6400000000000001,91.2,14.38,1,0,0,1,-4.0,570,13090,-0.4,-0.0,-0.0,-0.0,0,1
388,11,1.9,49,1.8,1406,-7.7,1.0,0.0,0.0,2017,12,2,5,4,48,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,93.1,3.42,88.2,17.89,1,0,0,1,20.9,539,15466,1.9,0.0,0.0,0.0,0,0
479,12,4.3,41,1.3,1666,-7.8,1.09,0.0,0.0,2017,12,2,5,4,48,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,176.29999999999998,5.59,53.300000000000004,21.589999999999996,1,0,0,1,51.599999999999994,492,19992,4.3,0.0,0.0,0.0,0,0
606,13,6.0,36,1.8,1780,-7.9,1.12,0.0,0.0,2017,12,2,5,4,48,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,216.0,10.8,64.8,23.84,1,0,0,1,78.0,468,23140,6.0,0.0,0.0,0.0,0,0
611,14,7.3,35,1.3,1955,-7.1,0.99,0.0,0.0,2017,12,2,5,4,48,-0.4999999999999998,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,255.5,9.49,45.5,24.889999999999997,1,0,0,1,102.2,490,27370,7.3,0.0,0.0,0.0,0,0
589,15,7.6,41,2.3,1953,-4.8,0.74,0.0,0.0,2017,12,2,5,4,48,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,311.59999999999997,17.479999999999997,94.3,23.04,1,0,0,1,114.0,615,29295,7.6,0.0,0.0,0.0,0,0
618,16,6.4,48,2.6,1945,-3.8,0.22,0.0,0.0,2017,12,2,5,4,48,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,307.20000000000005,16.64,124.80000000000001,20.28,1,0,0,1,102.4,768,31120,6.4,0.0,0.0,0.0,0,0
572,17,6.0,51,2.5,1891,-3.3,0.06,0.0,0.0,2017,12,2,5,4,48,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,306.0,15.0,127.5,19.2,1,1,0,1,102.0,867,32147,6.0,0.0,0.0,0.0,0,0
489,18,5.5,53,1.5,1697,-3.3,0.0,0.0,0.0,2017,12,2,5,4,48,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,291.5,8.25,79.5,18.55,1,1,0,1,99.0,954,30546,5.5,0.0,0.0,0.0,0,0
385,19,5.0,52,2.3,1666,-4.0,0.0,0.0,0.0,2017,12,2,5,4,48,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,260.0,11.5,119.6,18.439999999999998,1,1,0,1,95.0,988,31654,5.0,0.0,0.0,0.0,0,0
359,20,4.6,51,1.2,1585,-4.6,0.0,0.0,0.0,2017,12,2,5,4,48,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,234.6,5.52,61.199999999999996,18.76,1,0,0,1,92.0,1020,31700,4.6,0.0,0.0,0.0,0,0
377,21,4.1,55,1.2,1448,-4.1,0.0,0.0,0.0,2017,12,2,5,4,48,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,225.49999999999997,4.919999999999999,66.0,17.310000000000002,1,0,0,1,86.1,1155,30408,4.1,0.0,0.0,0.0,0,0
354,22,3.5,54,1.5,1446,-4.9,0.0,0.0,0.0,2017,12,2,5,4,48,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,189.0,5.25,81.0,17.25,1,0,1,1,77.0,1188,31812,3.5,0.0,0.0,0.0,0,0
366,23,4.0,56,1.0,1352,-4.0,0.0,0.0,0.0,2017,12,2,5,4,48,-0.25881904510252157,0.9659258262890681,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,224.0,4.0,56.0,17.0,1,0,1,1,92.0,1288,31096,4.0,0.0,0.0,0.0,0,0
342,0,4.0,58,1.4,1296,-3.5,0.0,0.0,0.0,2017,12,3,6,4,48,0.0,1.0,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,232.0,5.6,81.19999999999999,16.32,1,0,1,1,0.0,0,0,4.0,0.0,0.0,0.0,0,0
227,1,3.9,69,1.7,485,-1.2,0.0,0.0,0.0,2017,12,3,6,4,48,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,269.09999999999997,6.63,117.3,12.909999999999998,1,0,1,1,3.9,69,485,3.9,0.0,0.0,0.0,0,0
228,2,3.3,79,1.4,830,0.0,0.0,0.0,0.0,2017,12,3,6,4,48,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,260.7,4.619999999999999,110.6,9.67,1,0,1,1,6.6,158,1660,3.3,0.0,0.0,0.0,0,0
117,3,3.4,71,1.6,1011,-1.3,0.0,0.5,0.0,2017,12,3,6,4,48,0.7071067811865475,0.7071067811865476,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,241.4,5.44,113.60000000000001,12.079999999999998,1,0,1,1,10.2,213,3033,3.4,0.0,0.0,0.0,1,0
76,4,3.5,73,1.0,1060,-0.8,0.0,0.0,0.0,2017,12,3,6,4,48,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,255.5,3.5,73.0,11.65,1,0,1,1,14.0,292,4240,3.5,0.0,0.0,0.0,0,0
32,5,3.9,75,1.9,914,-0.1,0.0,0.0,0.0,2017,12,3,6,4,48,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,292.5,7.409999999999999,142.5,11.07,1,0,1,1,19.5,375,4570,3.9,0.0,0.0,0.0,0,0
13,6,3.4,86,2.5,278,1.2,0.0,1.0,0.0,2017,12,3,6,4,48,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,292.4,8.5,215.0,7.4,1,0,0,1,20.4,516,1668,3.4,0.0,0.0,0.0,1,0
22,7,3.1,91,1.2,129,1.7,0.0,0.0,0.0,2017,12,3,6,4,48,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,282.1,3.7199999999999998,109.2,6.01,1,1,0,1,21.7,637,903,3.1,0.0,0.0,0.0,0,0
85,8,3.2,92,1.8,244,2.0,0.0,0.0,0.0,2017,12,3,6,4,48,0.8660254037844387,-0.49999999999999983,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,294.40000000000003,5.760000000000001,165.6,5.64,1,1,0,1,25.6,736,1952,3.2,0.0,0.0,0.0,0,0
152,9,3.5,91,1.8,231,2.1,0.02,2.5,0.0,2017,12,3,6,4,48,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,318.5,6.3,163.8,6.089999999999999,1,0,0,1,31.5,819,2079,3.5,0.0,0.0,0.0,1,0
200,10,4.4,89,2.2,257,2.7,0.24,0.0,0.0,2017,12,3,6,4,48,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,391.6,9.680000000000001,195.8,7.0600000000000005,1,0,0,1,44.0,890,2570,4.4,0.0,0.0,0.0,0,0
273,11,5.1,87,1.4,321,3.1,0.25,0.0,0.0,2017,12,3,6,4,48,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,443.7,7.139999999999999,121.8,8.17,1,0,0,1,56.099999999999994,957,3531,5.1,0.0,0.0,0.0,0,0
333,12,5.8,85,1.7,349,3.4,0.43,0.0,0.0,2017,12,3,6,4,48,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,493.0,9.86,144.5,9.06,1,0,0,1,69.6,1020,4188,5.8,0.0,0.0,0.0,0,0
495,13,6.8,81,1.9,390,3.7,0.6,0.0,0.0,2017,12,3,6,4,48,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,550.8,12.92,153.9,10.719999999999999,1,0,0,1,88.39999999999999,1053,5070,6.8,0.0,0.0,0.0,0,0
563,14,7.6,76,1.2,422,3.6,0.69,0.0,0.0,2017,12,3,6,4,48,-0.4999999999999998,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,577.6,9.12,91.2,12.76,1,0,0,1,106.39999999999999,1064,5908,7.6,0.0,0.0,0.0,0,0
621,15,8.0,73,1.6,433,3.4,0.53,0.0,0.0,2017,12,3,6,4,48,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,584.0,12.8,116.80000000000001,13.78,1,0,0,1,120.0,1095,6495,8.0,0.0,0.0,0.0,0,0
598,16,7.6,77,1.6,399,3.8,0.2,0.0,0.0,2017,12,3,6,4,48,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,585.1999999999999,12.16,123.2,12.379999999999999,1,0,0,1,121.6,1232,6384,7.6,0.0,0.0,0.0,0,0
545,17,6.7,82,1.5,358,3.8,0.05,0.0,0.0,2017,12,3,6,4,48,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,549.4,10.05,123.0,10.45,1,1,0,1,113.9,1394,6086,6.7,0.0,0.0,0.0,0,0
443,18,6.0,84,1.9,327,3.4,0.0,0.0,0.0,2017,12,3,6,4,48,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,504.0,11.399999999999999,159.6,9.42,1,1,0,1,108.0,1512,5886,6.0,0.0,0.0,0.0,0,0
422,19,5.7,85,1.7,309,3.3,0.0,0.0,0.0,2017,12,3,6,4,48,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,484.5,9.69,144.5,9.01,1,1,0,1,108.3,1615,5871,5.7,0.0,0.0,0.0,0,0
397,20,5.2,87,1.4,253,3.2,0.0,0.0,0.0,2017,12,3,6,4,48,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,452.40000000000003,7.279999999999999,121.8,8.22,1,0,0,1,104.0,1740,5060,5.2,0.0,0.0,0.0,0,0
385,21,4.7,87,1.2,247,2.7,0.0,0.0,0.0,2017,12,3,6,4,48,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,408.90000000000003,5.64,104.39999999999999,8.01,1,0,0,1,98.7,1827,5187,4.7,0.0,0.0,0.0,0,0
350,22,4.3,89,1.8,201,2.6,0.0,0.0,0.0,2017,12,3,6,4,48,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,382.7,7.74,160.20000000000002,7.089999999999999,1,0,1,1,94.6,1958,4422,4.3,0.0,0.0,0.0,0,0
303,23,3.9,90,1.3,194,2.4,0.0,0.0,0.0,2017,12,3,6,4,48,-0.25881904510252157,0.9659258262890681,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,351.0,5.07,117.0,6.69,1,0,1,1,89.7,2070,4462,3.9,0.0,0.0,0.0,0,0
285,0,4.2,88,0.6,216,2.3,0.0,0.0,0.0,2017,12,4,0,4,49,0.0,1.0,0.0,1.0,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,369.6,2.52,52.8,7.579999999999999,0,0,1,0,0.0,0,0,4.2,0.0,0.0,0.0,0,0
186,1,4.3,87,0.5,221,2.3,0.0,0.0,0.0,2017,12,4,0,4,49,0.25881904510252074,0.9659258262890683,0.0,1.0,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,374.09999999999997,2.15,43.5,7.95,0,0,1,0,4.3,87,221,4.3,0.0,0.0,0.0,0,0
112,2,4.4,87,1.8,207,2.4,0.0,0.0,0.0,2017,12,4,0,4,49,0.49999999999999994,0.8660254037844387,0.0,1.0,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,382.8,7.920000000000001,156.6,7.739999999999999,0,0,1,0,8.8,174,414,4.4,0.0,0.0,0.0,0,0
65,3,3.6,85,2.3,206,1.3,0.0,0.0,0.0,2017,12,4,0,4,49,0.7071067811865475,0.7071067811865476,0.0,1.0,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,306.0,8.28,195.49999999999997,7.84,0,0,1,0,10.8,255,618,3.6,0.0,0.0,0.0,0,0
41,4,2.8,89,1.5,130,1.1,0.0,0.0,0.0,2017,12,4,0,4,49,0.8660254037844386,0.5000000000000001,0.0,1.0,-2.4492935982947064e-16,1.0,0,1,False,False,False,True,249.2,4.199999999999999,133.5,6.3999999999999995,0,0,1,0,11.2,356,520,2.8,0.0,0.0,0.0,0,0
